,room,room_type,campus
140,А-16,ауд,"Проспект Вернадского, д.78"
141,А-17,ауд,"Проспект Вернадского, д.78"
142,А-173,ауд,"Проспект Вернадского, д.78"
143,А-174-б,ауд,"Проспект Вернадского, д.78"
144,А-174-б,,
145,А-175,ауд,"Проспект Вернадского, д.78"
146,А-175,,
147,А-177,,
148,А-177,ауд,"Проспект Вернадского, д.78"
149,А-178,ауд,"Проспект Вернадского, д.78"
150,А-18,ауд,"Проспект Вернадского, д.78"
151,А-180,ауд,"Проспект Вернадского, д.78"
152,А-181,,
153,А-181,ауд,"Проспект Вернадского, д.78"
154,А-182,,
155,А-182,ауд,"Проспект Вернадского, д.78"
156,А-2,ауд,"Проспект Вернадского, д.78"
157,А-2,,
158,А-201,ауд,"ул. Малая Пироговская, д.1"
159,А-203,ауд,"Проспект Вернадского, д.78"
160,А-204,ауд,"Проспект Вернадского, д.78"
161,А-205,ауд,"Проспект Вернадского, д.78"
162,А-206,ауд,"Проспект Вернадского, д.78"
163,А-207,ауд,"Проспект Вернадского, д.78"
164,А-208,ауд,"Проспект Вернадского, д.78"
165,А-210,,
166,А-210,ауд,"Проспект Вернадского, д.78"
167,А-211,ауд,"Проспект Вернадского, д.78"
168,А-213м,ауд,"Проспект Вернадского, д.78"
169,А-214,ауд,"Проспект Вернадского, д.78"
170,А-214,,
171,А-215,ауд,"Проспект Вернадского, д.78"
172,А-216,ауд,"Проспект Вернадского, д.78"
173,А-216,,
174,А-217,ауд,"Проспект Вернадского, д.78"
175,А-218,ауд,"Проспект Вернадского, д.78"
176,А-219,ауд,"Проспект Вернадского, д.78"
177,А-220,ауд,"Проспект Вернадского, д.78"
178,А-221,ауд,"Проспект Вернадского, д.78"
179,А-222,ауд,"Проспект Вернадского, д.78"
180,А-225,ауд,"ул. Малая Пироговская, д.1"
181,А-249,ауд,"ул. Малая Пироговская, д.1"
182,А-3,,
183,А-3,ауд,"Проспект Вернадского, д.78"
184,А-301,ауд,"ул. Малая Пироговская, д.1"
185,А-302,комп,"ул. Малая Пироговская, д.1"
186,А-307,ауд,"Проспект Вернадского, д.78"
187,А-309,ауд,"Проспект Вернадского, д.78"
188,А-311,ауд,"Проспект Вернадского, д.78"
189,А-314,ауд,"Проспект Вернадского, д.78"
190,А-316,ауд,"Проспект Вернадского, д.78"
191,А-318,ауд,"Проспект Вернадского, д.78"
192,А-321,ауд,"Проспект Вернадского, д.78"
193,А-323,ауд,"Проспект Вернадского, д.78"
194,А-324,ауд,"Проспект Вернадского, д.78"
195,А-325,ауд,"Проспект Вернадского, д.78"
196,А-327,ауд,"Проспект Вернадского, д.78"
197,А-328,ауд,"Проспект Вернадского, д.78"
198,А-329,,
199,А-329,комп,"Проспект Вернадского, д.78"
200,А-331,комп,"ул. Малая Пироговская, д.1"
201,А-332,комп,"ул. Малая Пироговская, д.1"
202,А-335,комп,"ул. Малая Пироговская, д.1"
203,А-337,комп,"ул. Малая Пироговская, д.1"
204,А-342,,"ул. Малая Пироговская, д.1"
